������ �����: Direction [-1,0,0] (m);������ �����: Temperature (K);������ �����: Direction [-1,0,0] (m);������ �����: Mass Fraction of Nitrogen Oxide Emission;������ �����: Direction [-1,0,0] (m);������ �����: Mass Fraction of CO;������ �����: Direction [-1,0,0] (m);������ �����: Mass Fraction of CO2
0,4882599999995225;427,9760419286223;0,4882599999995225;9,66414563360934E-8;0,4882599999995225;0,0013781495765970613;0,4882599999995225;1,2635241508476114E-4
0,41707999999951895;427,0211400317278;0,41707999999951895;9,558411791439007E-8;0,41707999999951895;0,0013242137518083685;0,41707999999951895;1,1149333655532746E-4
0,3458999999995154;424,27523837240176;0,3458999999995154;9,715423450641563E-8;0,3458999999995154;0,0012037960836980789;0,3458999999995154;7,908507871853872E-5
0,2747199999995118;421,16160569037913;0,2747199999995118;1,0031746473055176E-7;0,2747199999995118;0,0010235298215136664;0,2747199999995118;5,3353253968650386E-5
0,20353999999951;425,3459528985585;0,20353999999951;9,528498120213975E-8;0,20353999999951;0,0012355713563918659;0,20353999999951;8,6791255432868E-5
0,13235999999950643;423,6110408276693;0,13235999999950643;9,715671727370109E-8;0,13235999999950643;0,0011075772687202273;0,13235999999950643;6,266550937099074E-5
0,061179999999502854;427,3193844017142;0,061179999999502854;9,569971485311434E-8;0,061179999999502854;0,001244231468497556;0,061179999999502854;8,89617824245682E-5
10,595819999999998;703,7462758650863;10,595819999999998;1,4544106409671236E-5;10,595819999999998;0,00402107606478814;10,595819999999998;0,014793360847368979
10,524639999999994;706,3592004164216;10,524639999999994;1,3952705013334753E-5;10,524639999999994;0,00409906517959348;10,524639999999994;0,014844182481227973
10,45345999999999;711,1336751124808;10,45345999999999;1,3563606097605182E-5;10,45345999999999;0,004088207070702656;10,45345999999999;0,015120587012052112
10,382279999999987;714,3229104488493;10,382279999999987;1,3371733010710298E-5;10,382279999999987;0,004045049165619276;10,382279999999987;0,015344539100301384
10,311099999999985;722,3921626265194;10,311099999999985;1,3346508878202217E-5;10,311099999999985;0,003853847011109835;10,311099999999985;0,016006718974395776
10,239919999999982;726,5411565069003;10,239919999999982;1,3319301998651847E-5;10,239919999999982;0,003718045393416882;10,239919999999982;0,01638437722062415
10,168739999999978;735,2489768980215;10,168739999999978;1,3605418260296052E-5;10,168739999999978;0,0034066067675332327;10,168739999999978;0,01721092227968341
10,097559999999975;742,5658102965684;10,097559999999975;1,3877967340374865E-5;10,097559999999975;0,0030292715659856156;10,097559999999975;0,01802759085816494
10,026379999999971;752,8818097656718;10,026379999999971;1,4445993621862314E-5;10,026379999999971;0,0024007610521927444;10,026379999999971;0,01928071010161269
9,955199999999968;758,8225304397547;9,955199999999968;1,4839554225526505E-5;9,955199999999968;0,0019383385810780786;9,955199999999968;0,020105921914737354
9,884019999999964;767,1418947593232;9,884019999999964;1,5500301941378842E-5;9,884019999999964;0,001385540242708469;9,884019999999964;0,021162813509978347
9,812839999999962;772,9420015940127;9,812839999999962;1,6154389784907315E-5;9,812839999999962;8,57550328103674E-4;9,812839999999962;0,022052467807572997
9,741659999999959;780,3758212867895;9,741659999999959;1,7198796879191486E-5;9,741659999999959;2,9111603833507E-4;9,741659999999959;0,023074209456675484
9,670479999999955;785,4928691902428;9,670479999999955;1,8172945419868523E-5;9,670479999999955;2,4854665602140362E-5;9,670479999999955;0,023650443525839206
9,599299999999952;784,9820454748564;9,599299999999952;1,8934777547845038E-5;9,599299999999952;1,2173309745613066E-14;9,599299999999952;0,02365014584159842
9,528119999999948;785,3771583285779;9,528119999999948;2,0153396070354165E-5;9,528119999999948;1,227556807794979E-14;9,528119999999948;0,023676205994516853
9,456939999999944;788,7392797200409;9,456939999999944;2,1726451223984394E-5;9,456939999999944;1,595169146373768E-14;9,456939999999944;0,023869712918621992
9,38575999999994;791,0471437756065;9,38575999999994;2,3100775019430786E-5;9,38575999999994;3,0603706741631095E-14;9,38575999999994;0,024003702501892862
9,314579999999937;790,1737455789731;9,314579999999937;2,3940564123595664E-5;9,314579999999937;2,5678837446290133E-14;9,314579999999937;0,023958665612971386
9,243399999999934;792,7443576690565;9,243399999999934;2,5786968020134815E-5;9,243399999999934;4,261600037410986E-14;9,243399999999934;0,02411355238857511
9,172219999999932;793,6542475343898;9,172219999999932;2,6743853241849294E-5;9,172219999999932;4,8692352723718556E-14;9,172219999999932;0,024169119346682193
9,101039999999928;796,8345088673545;9,101039999999928;2,8295597616111382E-5;9,101039999999928;6,928259886714458E-14;9,101039999999928;0,024357412796277816
9,029859999999925;799,9635578922877;9,029859999999925;2,9520148231706866E-5;9,029859999999925;8,92911169986068E-14;9,029859999999925;0,024540386466142
8,958679999999921;803,8551316715221;8,958679999999921;3,079542476331871E-5;8,958679999999921;1,144016026853686E-13;8,958679999999921;0,024770016551088386
8,887499999999918;806,4112467213525;8,887499999999918;3,160262997682671E-5;8,887499999999918;1,3126469461376407E-13;8,887499999999918;0,02492422596305598
8,816319999999914;810,0609137169212;8,816319999999914;3,24389561871886E-5;8,816319999999914;1,495630533331923E-6;8,816319999999914;0,02513896786806754
8,74513999999991;815,6302505307522;8,74513999999991;3,3250916456429065E-5;8,74513999999991;4,4049308641868564E-5;8,74513999999991;0,025419536008731876
8,673959999999909;819,3832878300951;8,673959999999909;3,368178222380848E-5;8,673959999999909;9,668849868461383E-5;8,673959999999909;0,02558515948780898
8,602779999999905;825,8579274844237;8,602779999999905;3,419126075483893E-5;8,602779999999905;2,183678447532493E-4;8,602779999999905;0,0258334530582571
8,531599999999901;830,8182215362812;8,531599999999901;3,4435712108978194E-5;8,531599999999901;3,3653553688049156E-4;8,531599999999901;0,025996052595622147
8,460419999999898;837,3364033836169;8,460419999999898;3,4363320967898957E-5;8,460419999999898;5,693685680961833E-4;8,460419999999898;0,026134031233506362
8,389239999999894;841,3340206044827;8,389239999999894;3,42541919049445E-5;8,389239999999894;7,114334351882743E-4;8,389239999999894;0,02621836225080724
8,31805999999989;847,244714980479;8,31805999999989;3,3978408606193415E-5;8,31805999999989;9,426244202514202E-4;8,31805999999989;0,026320990015842986
8,246879999999887;855,0653946281581;8,246879999999887;3,372477855674712E-5;8,246879999999887;0,0011486456347731555;8,246879999999887;0,026558668432796473
8,175699999999885;859,2935257655591;8,175699999999885;3,3211049397935806E-5;8,175699999999885;0,0014043682791197013;8,175699999999885;0,026540115991556465
8,10451999999988;867,2000186549438;8,10451999999988;3,264017774959259E-5;8,10451999999988;0,0017394201770224854;8,10451999999988;0,026651086009972833
8,033339999999878;871,7743819609055;8,033339999999878;3,199258299336362E-5;8,033339999999878;0,002068369238841283;8,033339999999878;0,02657812374227917
7,962159999999875;878,4751043650324;7,962159999999875;3,162176960922846E-5;7,962159999999875;0,0023069448903720686;7,962159999999875;0,026721944463329105
7,890979999999871;885,3502660568224;7,890979999999871;3,088753809718085E-5;7,890979999999871;0,0026265879329829714;7,890979999999871;0,02679530847322472
7,8197999999998675;893,3085641525743;7,8197999999998675;3,0179053839342205E-5;7,8197999999998675;0,003018910260058416;7,8197999999998675;0,026859474289167445
7,748619999999864;897,953335184705;7,748619999999864;2,970446807563082E-5;7,748619999999864;0,0032908061435694947;7,748619999999864;0,026855119352771597
7,67743999999986;906,4341882511944;7,67743999999986;2,888910619633006E-5;7,67743999999986;0,003746138098627715;7,67743999999986;0,026892184401329917
7,606259999999857;915,3876843079345;7,606259999999857;2,810499123162503E-5;7,606259999999857;0,004192650737731433;7,606259999999857;0,026971592881942594
7,535079999999854;925,211330824617;7,535079999999854;2,7885251603665743E-5;7,535079999999854;0,004448854009049857;7,535079999999854;0,027301113252992604
7,463899999999851;931,5207966548916;7,463899999999851;2,7270208730760152E-5;7,463899999999851;0,004691052852688016;7,463899999999851;0,027439613911387106
7,392719999999848;944,8268521932135;7,392719999999848;2,6649333700777502E-5;7,392719999999848;0,005101352156309643;7,392719999999848;0,02784337806139749
7,321539999999844;954,9886599699183;7,321539999999844;2,6328636036653734E-5;7,321539999999844;0,005032650924824056;7,321539999999844;0,028548987324709722
7,250359999999841;971,4882746290451;7,250359999999841;2,6517029502094175E-5;7,250359999999841;0,004869340590832538;7,250359999999841;0,02974874573762947
7,179179999999837;991,718150978009;7,179179999999837;2,692299618575369E-5;7,179179999999837;0,0048966669068276625;7,179179999999837;0,03100739090607199
7,1079999999998345;1006,5702378796968;7,1079999999998345;2,735346129633123E-5;7,1079999999998345;0,0047519925635505335;7,1079999999998345;0,03210530916933536
7,03681999999983;1026,445673779429;7,03681999999983;2,8193615676460585E-5;7,03681999999983;0,004440870590403869;7,03681999999983;0,03369979733767133
6,965639999999827;1043,3628607717346;6,965639999999827;2,9150717982878375E-5;6,965639999999827;0,004267773466153889;6,965639999999827;0,03497029522679364
6,894459999999825;1061,500577298982;6,894459999999825;3,0455064553714725E-5;6,894459999999825;0,004030425255842979;6,894459999999825;0,03640249674104623
