Датчик линии: Direction [-1,0,0] (m);Датчик линии: Temperature (K);Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of Nitrogen Oxide Emission;Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of CO;Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of CO2
9,528119999999948;794,5029544867325;9,528119999999948;1,6363959559278192E-5;9,528119999999948;0,0035433323435237556;9,528119999999948;0,020061359818416353
9,456939999999944;808,3940038649384;9,456939999999944;1,7007695185041313E-5;9,456939999999944;0,0028219065056320257;9,456939999999944;0,02162430937005586
9,38575999999994;818,4517965519668;9,38575999999994;1,7644389406973622E-5;9,38575999999994;0,0022397917766778376;9,38575999999994;0,022821282975917127
9,314579999999937;822,7837566921328;9,314579999999937;1,801153147917632E-5;9,314579999999937;0,0020042340811564667;9,314579999999937;0,023324016716872367
9,243399999999934;835,8149725641873;9,243399999999934;1,935110910662072E-5;9,243399999999934;0,0013570374002968035;9,243399999999934;0,024761516133405954
9,172219999999932;840,3787014677345;9,172219999999932;2,001111215834937E-5;9,172219999999932;0,0011344100258429896;9,172219999999932;0,025263655702310275
9,101039999999928;849,2413881977935;9,101039999999928;2,1434034763605713E-5;9,101039999999928;7,693469425815135E-4;9,101039999999928;0,02616830240221569
9,029859999999925;854,7904834896752;9,029859999999925;2,2606899603373718E-5;9,029859999999925;5,877071668767702E-4;9,029859999999925;0,026683290955562763
8,958679999999921;861,8264207806606;8,958679999999921;2,4190822139714275E-5;8,958679999999921;4,2462469398215393E-4;8,958679999999921;0,02726404290869091
8,887499999999918;867,3865798424146;8,887499999999918;2,55367729559788E-5;8,887499999999918;3,432914905028267E-4;8,887499999999918;0,027672606271487286
8,816319999999914;872,0241392055539;8,816319999999914;2,6926059301447446E-5;8,816319999999914;3,2250467754130907E-4;8,816319999999914;0,027964059480753242
8,74513999999991;878,4095189114433;8,74513999999991;2,8647922009478913E-5;8,74513999999991;2,717802436830286E-4;8,74513999999991;0,028387720000224877
8,673959999999909;881,9349225432887;8,673959999999909;2,9669966950505322E-5;8,673959999999909;2,589411098090665E-4;8,673959999999909;0,028605600667809962
8,602779999999905;888,0349716934899;8,602779999999905;3,136571639375524E-5;8,602779999999905;2,2532009384688224E-4;8,602779999999905;0,028994878816632413
8,531599999999901;891,2648967714695;8,531599999999901;3,233213623418473E-5;8,531599999999901;2,1951323114473615E-4;8,531599999999901;0,029188071436519067
8,460419999999898;899,648468216712;8,460419999999898;3,4178288099676227E-5;8,460419999999898;1,268153465565474E-4;8,460419999999898;0,02977595415199011
8,389239999999894;903,8957152836351;8,389239999999894;3,508572787171853E-5;8,389239999999894;7,938595902276048E-5;8,389239999999894;0,03007514728196855
8,31805999999989;909,796078186711;8,31805999999989;3,626231089185413E-5;8,31805999999989;2,2536713799796365E-5;8,31805999999989;0,030482825585297284
8,246879999999887;917,6949792894579;8,246879999999887;3,790709550337843E-5;8,246879999999887;3,5482987812247647E-8;8,246879999999887;0,03097412250952415
8,175699999999885;922,2841468041536;8,175699999999885;3,859925924729942E-5;8,175699999999885;4,1675221759436415E-8;8,175699999999885;0,03124957227319023
8,10451999999988;929,0470556331093;8,10451999999988;3,956113711291215E-5;8,10451999999988;5,189178432656624E-8;8,10451999999988;0,031655893029466545
8,033339999999878;933,7187385756365;8,033339999999878;3,997381012777863E-5;8,033339999999878;6,029533774296732E-8;8,033339999999878;0,03194047039733095
7,962159999999875;939,3933248499483;7,962159999999875;4,0562577540746166E-5;7,962159999999875;7,021938383597401E-8;7,962159999999875;0,03228341415174914
